"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"1"	"MT-2_1"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"2"	"MT-2_1"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"3"	"MT-2_1"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"4"	"MT-2_1"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"5"	"MT-2_2"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"6"	"MT-2_2"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"7"	"MT-2_2"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"8"	"MT-2_2"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"9"	"MT-4_1"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"10"	"MT-4_1"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"11"	"MT-4_1"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"12"	"MT-4_1"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"13"	"MT-4_2"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"14"	"MT-4_2"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"15"	"MT-4_2"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"16"	"MT-4_2"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"17"	"MT-2_1"	"MT-2_1"	"20"	"1"	"1"	"1"	"0.181818181818182"	"0.0339840846545298"	"0.157884053202006"	"0.205752310434358"
"18"	"MT-2_1"	"MT-2_2"	"20"	"2"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"19"	"MT-2_1"	"MT-4_1"	"20"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"20"	"MT-2_1"	"MT-4_2"	"20"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"21"	"MT-2_2"	"MT-2_1"	"20"	"2"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"22"	"MT-2_2"	"MT-2_2"	"20"	"1"	"1"	"1"	"0.133866133866134"	"0.0110101050629352"	"0.112736015808374"	"0.154996251923893"
"23"	"MT-2_2"	"MT-4_1"	"20"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"24"	"MT-2_2"	"MT-4_2"	"20"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"25"	"MT-4_1"	"MT-2_1"	"20"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"26"	"MT-4_1"	"MT-2_2"	"20"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"27"	"MT-4_1"	"MT-4_1"	"20"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
